Country/Region,Current cases,Total cases,Inflection point cases,Max new cases per day,Current deaths,Total deaths,Inflection point deaths,Death ratio (%)
US,429052,554865,04/02/20,31469,14695,25123,04/06/20,4.53
Spain,148220,163887,03/29/20,8605,14792,16161,03/30/20,9.86
Italy,139422,148269,03/24/20,6205,17669,19526,03/27/20,13.17
France,113959,241361,04/08/20,9168,10887,17976,04/05/20,7.45
Germany,113296,125938,03/29/20,6310,2349,3420,04/05/20,2.72
China,82809,82809,02/08/20,4498,3337,3337,02/15/20,4.03
Iran,64586,99812,04/02/20,2749,3993,4190,03/25/20,4.2
United Kingdom,61474,91270,04/04/20,4576,7111,11393,04/06/20,12.48
Turkey,38226,50068,04/04/20,3317,812,1178,04/05/20,2.35
Belgium,23403,28522,04/01/20,1468,2240,3631,04/06/20,12.73
Switzerland,23280,23681,03/26/20,1255,895,1120,04/02/20,4.73
Netherlands,20682,24010,03/30/20,1148,2255,2712,04/02/20,11.3
Canada,19141,25811,04/03/20,1392,407,1630,04/12/20,6.32
Brazil,16170,31104,04/07/20,1422,819,1825,04/09/20,5.87
Portugal,13141,14644,03/30/20,873,380,399,04/01/20,2.72
Austria,12942,13113,03/25/20,818,273,288,04/01/20,2.2
"Korea, South",10384,10384,03/03/20,582,200,202,03/19/20,1.95
Israel,9404,10444,03/30/20,689,73,86,04/03/20,0.82
Russia,8672,20697,04/09/20,1119,63,70,04/03/20,0.34
Sweden,8419,15683,04/07/20,489,687,1310,04/07/20,8.35
Norway,6086,6681,03/25/20,278,101,225,04/09/20,3.37
Ireland,6074,7343,04/01/20,367,235,316,04/04/20,4.3
India,5916,91770,04/23/20,3932,178,1086,04/16/20,1.18
Denmark,5597,12740,04/10/20,341,218,272,04/02/20,2.14
Chile,5546,6848,04/01/20,365,48,84,04/06/20,1.23
Czechia,5312,5890,03/29/20,300,99,111,04/03/20,1.88
Romania,4761,6293,04/02/20,325,220,242,04/02/20,3.85
Ecuador,4450,4559,03/30/20,272,242,294,04/03/20,6.45
Pakistan,4263,7225,04/06/20,287,61,89,04/04/20,1.23
Malaysia,4119,4430,03/27/20,197,65,65,03/28/20,1.47
Philippines,3870,4762,04/01/20,292,182,250,04/02/20,5.25
Luxembourg,3034,3034,03/26/20,202,46,51,03/31/20,1.68
Indonesia,2956,3751,04/01/20,166,240,253,03/29/20,6.74
Saudi Arabia,2932,3548,03/31/20,168,41,49,04/03/20,1.38
Mexico,2785,5158,04/07/20,232,141,454,04/10/20,8.8
Serbia,2666,6328,04/09/20,290,65,67,04/02/20,1.06
Finland,2487,2979,03/31/20,118,40,40,04/01/20,1.34
Thailand,2369,2518,03/27/20,138,30,64,04/08/20,2.54
Panama,2249,2832,04/02/20,148,59,68,04/01/20,2.4
Dominican Republic,2111,2202,03/30/20,152,108,108,03/31/20,4.9
Colombia,2054,2680,04/03/20,130,54,123,04/08/20,4.59
Greece,1884,2232,03/28/20,88,83,98,03/31/20,4.39
South Africa,1845,1845,03/25/20,145,18,21,04/04/20,1.14
Argentina,1715,1958,03/30/20,111,63,102,04/05/20,5.21
Ukraine,1668,1824,04/01/20,137,52,171,04/12/20,9.38
Algeria,1572,2201,04/03/20,113,205,940,04/14/20,42.71
Egypt,1560,4242,04/12/20,127,103,125,04/02/20,2.95
Croatia,1343,1407,03/28/20,83,19,46,04/09/20,3.27
Morocco,1275,1646,04/02/20,88,93,134,04/04/20,8.14
New Zealand,1210,1276,03/30/20,92,1,1,11/01/19,0.08
Iraq,1202,2177,04/06/20,70,69,85,03/29/20,3.9
Estonia,1185,1356,03/28/20,60,24,29,04/04/20,2.14
Slovenia,1091,1131,03/25/20,52,40,69,04/06/20,6.1
Lithuania,912,954,03/29/20,62,15,16,03/31/20,1.68
Hungary,895,1032,03/31/20,52,58,181,04/12/20,17.54
Armenia,881,1057,03/30/20,53,9,9,03/31/20,0.85
Bahrain,823,1117,03/30/20,29,5,5,03/22/20,0.45
Azerbaijan,822,1693,04/08/20,77,8,20,04/10/20,1.18
Bosnia and Herzegovina,804,996,04/01/20,51,34,49,04/04/20,4.92
Cameroon,730,965,04/03/20,74,10,10,03/29/20,1.04
Kazakhstan,727,913,04/02/20,55,7,8,04/02/20,0.88
Diamond Princess,712,712,02/15/20,65,11,11,03/07/20,1.54
Slovakia,682,771,03/31/20,30,2,3,04/04/20,0.39
Tunisia,628,706,03/30/20,43,24,32,04/02/20,4.53
North Macedonia,617,787,04/01/20,38,29,77,04/10/20,9.78
Lebanon,576,593,03/23/20,28,19,88,04/19/20,14.84
Andorra,564,581,03/28/20,34,23,23,03/31/20,3.96
Cyprus,526,713,04/02/20,32,9,10,03/27/20,1.4
Costa Rica,502,516,03/27/20,29,3,3,03/19/20,0.58
Cuba,457,553,04/03/20,33,12,35,04/12/20,6.33
Uruguay,424,424,03/25/20,31,7,7,04/02/20,1.65
Oman,419,1112,04/12/20,36,2,2,04/01/20,0.18
Burkina Faso,414,414,03/27/20,26,23,23,03/28/20,5.56
Albania,400,528,03/31/20,20,22,28,03/31/20,5.3
Jordan,358,358,03/24/20,24,6,6,03/28/20,1.68
Niger,342,507,04/06/20,49,11,14,04/03/20,2.76
Ghana,313,313,03/28/20,20,6,6,03/24/20,1.92
Honduras,312,374,04/01/20,25,22,23,04/01/20,6.15
San Marino,279,279,03/19/20,12,34,34,03/21/20,12.19
Mauritius,273,281,03/30/20,20,7,14,04/05/20,4.98
Kyrgyzstan,270,389,04/05/20,21,4,6,04/06/20,1.54
West Bank and Gaza,263,8988,05/12/20,219,1,2,02/09/20,0.02
Vietnam,251,412,04/01/20,10,0,0,03/22/20,0
Montenegro,248,282,04/01/20,19,2,2,03/27/20,0.71
Senegal,244,260,03/27/20,14,2,2,04/01/20,0.77
Georgia,211,348,04/05/20,11,3,3,04/04/20,0.86
Bolivia,210,266,04/02/20,14,15,15,03/31/20,5.64
Sri Lanka,189,189,03/22/20,12,7,7,04/01/20,3.7
Congo (Kinshasa),180,199,03/30/20,13,18,22,04/01/20,11.06
Kenya,179,256,04/04/20,15,6,15,04/08/20,5.86
Venezuela,167,167,03/23/20,13,9,10,04/02/20,5.99
Guinea,164,207,04/04/20,20,0,0,03/22/20,0
Brunei,135,135,03/18/20,12,1,1,09/22/19,0.74
Djibouti,135,432,04/11/20,27,0,0,03/22/20,0
Paraguay,119,143,03/31/20,7,5,5,03/23/20,3.5
Cambodia,117,117,03/20/20,11,0,0,03/22/20,0
Rwanda,110,110,03/26/20,8,0,0,03/22/20,0
Trinidad and Tobago,107,107,03/23/20,10,8,10,04/01/20,9.35
Madagascar,93,93,03/30/20,7,0,0,03/22/20,0
El Salvador,93,114,04/03/20,8,5,6,04/04/20,5.26
Monaco,81,82,03/27/20,5,1,1,11/01/19,1.22
Liechtenstein,78,78,03/21/20,7,1,1,07/15/18,1.28
Togo,70,70,03/29/20,4,3,4,04/01/20,5.71
Barbados,63,69,03/30/20,4,3,3,04/05/20,4.35
Mali,59,59,03/30/20,6,7,27,04/14/20,45.76
Ethiopia,55,83,04/04/20,3,2,2,10/30/18,2.41
Uganda,53,53,03/27/20,7,0,0,03/22/20,0
Congo (Brazzaville),45,105,04/08/20,6,5,9,04/06/20,8.57
Bahamas,40,53,04/03/20,3,7,8,04/05/20,15.09
Zambia,39,40,03/27/20,5,1,1,04/26/17,2.5
Gabon,34,63,04/07/20,3,1,1,06/08/19,1.59
Eritrea,33,35,03/31/20,3,0,0,03/22/20,0
Guinea-Bissau,33,72,04/08/20,5,0,0,03/22/20,0
Haiti,27,27,03/30/20,2,1,1,10/27/18,3.7
Benin,26,147,04/17/20,6,1,1,03/16/19,0.68
Tanzania,25,25,03/24/20,2,1,1,11/19/19,4.0
Libya,21,21,04/01/20,2,1,1,04/26/17,4.76
Angola,19,673,05/05/20,22,2,2,11/04/19,0.3
Maldives,19,19,03/14/20,1,0,0,03/22/20,0
Syria,19,20,03/30/20,2,2,2,03/29/20,10.0
Equatorial Guinea,18,18,03/23/20,1,0,0,03/22/20,0
Mozambique,17,17,03/25/20,2,0,0,03/22/20,0
Namibia,16,21,03/29/20,1,0,0,03/22/20,0
Mongolia,16,16,03/20/20,1,0,0,03/22/20,0
Fiji,15,178,04/26/20,6,0,0,03/22/20,0
Laos,15,15,03/27/20,1,0,0,03/22/20,0
Dominica,15,15,03/25/20,3,0,0,03/22/20,0
Saint Lucia,14,41,04/10/20,1,0,0,03/22/20,0
Eswatini,12,12,03/25/20,1,0,0,03/22/20,0
Grenada,12,12,03/27/20,2,0,0,03/22/20,0
Seychelles,11,11,03/19/20,1,0,0,03/22/20,0
Saint Kitts and Nevis,11,12,03/31/20,1,0,0,03/22/20,0
Chad,10,13,04/01/20,1,0,0,03/22/20,0
Suriname,10,10,03/22/20,1,1,1,09/23/17,10.0
MS Zaandam,9,10,04/01/20,1,2,2,01/26/15,20.0
Holy See,8,13,04/03/20,0,0,0,03/22/20,0
Cabo Verde,7,7,03/24/20,1,1,1,10/07/19,14.29
Sierra Leone,7,10,04/05/20,1,0,0,03/22/20,0
Nicaragua,6,9,04/01/20,0,1,1,09/20/19,11.11
Mauritania,6,8,03/29/20,0,1,2,12/11/19,25.0
Botswana,6,35,04/25/20,1,1,1,11/19/19,2.86
Bhutan,5,36,04/30/20,1,0,0,03/22/20,0
Gambia,4,4,03/23/20,0,1,1,09/21/19,25.0
Western Sahara,4,4,08/28/18,0,0,0,03/22/20,0
Sao Tome and Principe,4,4,03/19/19,0,0,0,03/22/20,0
Burundi,3,3,03/30/20,0,0,0,03/22/20,0
South Sudan,2,3,04/06/20,0,0,0,03/22/20,0
Timor-Leste,1,1,10/09/19,0,0,0,03/22/20,0
Afghanistan,,,,,,,,
Antigua and Barbuda,,,,,,,,
Australia,,,,,,,,
Bangladesh,,,,,,,,
Belarus,,,,,,,,
Belize,,,,,,,,
Bulgaria,,,,,,,,
Burma,,,,,,,,
Central African Republic,,,,,,,,
Cote d'Ivoire,,,,,,,,
Guatemala,,,,,,,,
Guyana,,,,,,,,
Iceland,,,,,,,,
Jamaica,,,,,,,,
Japan,,,,,,,,
Kosovo,,,,,,,,
Kuwait,,,,,,,,
Latvia,,,,,,,,
Liberia,,,,,,,,
Malawi,,,,,,,,
Malta,,,,,,,,
Moldova,,,,,,,,
Nepal,,,,,,,,
Nigeria,,,,,,,,
Papua New Guinea,,,,,,,,
Peru,,,,,,,,
Poland,,,,,,,,
Qatar,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,
Singapore,,,,,,,,
Somalia,,,,,,,,
Sudan,,,,,,,,
Taiwan*,,,,,,,,
United Arab Emirates,,,,,,,,
Uzbekistan,,,,,,,,
Zimbabwe,,,,,,,,
